EOI_Code,Municipality,same_as_wikidata_municipality,Station_Name,Pollutant_Code,Pollutant_Name,same_as_wikidata_pollutant_name,Units,Station_Type,Station_Environment,same_as_wikidata_station_environment,INE_Code,Year,Month,Day,Date,Values,Altitude,Latitude,Longitude,Georeference
43171002,Vila-seca,https://wikidata.org/entity/Q508754,IES Vila-seca,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,43171,2021,2,03,2021-03-02T00:00:00Z,0.7,33,41.10055556,1.14861111,POINT (1.14861111 41.10055556)
43171002,Vila-seca,https://wikidata.org/entity/Q508754,IES Vila-seca,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,43171,2021,2,08,2021-08-02T00:00:00Z,0.92,33,41.10055556,1.14861111,POINT (1.14861111 41.10055556)
43171002,Vila-seca,https://wikidata.org/entity/Q508754,IES Vila-seca,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,43171,2021,2,12,2021-12-02T00:00:00Z,1.54,33,41.10055556,1.14861111,POINT (1.14861111 41.10055556)
43171002,Vila-seca,https://wikidata.org/entity/Q508754,IES Vila-seca,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,43171,2021,2,16,2021-02-16T00:00:00Z,0.68,33,41.10055556,1.14861111,POINT (1.14861111 41.10055556)
43171002,Vila-seca,https://wikidata.org/entity/Q508754,IES Vila-seca,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,43171,2021,2,22,2021-02-22T00:00:00Z,0.58,33,41.10055556,1.14861111,POINT (1.14861111 41.10055556)
8113002,Manresa,,CEIP La Font,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,periphery,https://wikidata.org/entity/Q10950926,8113,2021,2,01,2021-01-02T00:00:00Z,0.0023,238,41.72769689,1.83852989,POINT (1.83852989 41.72769689)
8113002,Manresa,,CEIP La Font,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,periphery,https://wikidata.org/entity/Q10950926,8113,2021,2,11,2021-11-02T00:00:00Z,0.00274,238,41.72769689,1.83852989,POINT (1.83852989 41.72769689)
8113002,Manresa,,CEIP La Font,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,periphery,https://wikidata.org/entity/Q10950926,8113,2021,2,17,2021-02-17T00:00:00Z,0.00231,238,41.72769689,1.83852989,POINT (1.83852989 41.72769689)
8113002,Manresa,,CEIP La Font,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,periphery,https://wikidata.org/entity/Q10950926,8113,2021,2,23,2021-02-23T00:00:00Z,0.00317,238,41.72769689,1.83852989,POINT (1.83852989 41.72769689)
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,2,04,2021-04-02T00:00:00Z,0.4,35,41.37879997,2.13308979,POINT (2.13308979 41.37879997)
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,2,07,2021-07-02T00:00:00Z,0.4,35,41.37879997,2.13308979,POINT (2.13308979 41.37879997)
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,2,09,2021-09-02T00:00:00Z,0.4,35,41.37879997,2.13308979,POINT (2.13308979 41.37879997)
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,2,11,2021-11-02T00:00:00Z,0.4,35,41.37879997,2.13308979,POINT (2.13308979 41.37879997)
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,2,14,2021-02-14T00:00:00Z,0.4,35,41.37879997,2.13308979,POINT (2.13308979 41.37879997)
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,2,16,2021-02-16T00:00:00Z,0.4,35,41.37879997,2.13308979,POINT (2.13308979 41.37879997)
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,2,18,2021-02-18T00:00:00Z,0.4,35,41.37879997,2.13308979,POINT (2.13308979 41.37879997)
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,2,21,2021-02-21T00:00:00Z,0.4,35,41.37879997,2.13308979,POINT (2.13308979 41.37879997)
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,2,23,2021-02-23T00:00:00Z,0.4,35,41.37879997,2.13308979,POINT (2.13308979 41.37879997)
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,2,27,2021-02-27T00:00:00Z,0.4,35,41.37879997,2.13308979,POINT (2.13308979 41.37879997)
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,03,2021-03-01T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,05,2021-05-01T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,07,2021-07-01T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
