EOI_Code,Municipality,same_as_wikidata_municipality,Station_Name,Pollutant_Code,Pollutant_Name,same_as_wikidata_pollutant_name,Units,Station_Type,Station_Environment,same_as_wikidata_station_environment,INE_Code,Date,Values,Latitude,Longitude
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8019,2021-04-02,0.4,41.37879997,2.13308979
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8019,2021-07-02,0.4,41.37879997,2.13308979
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8019,2021-09-02,0.4,41.37879997,2.13308979
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8019,2021-11-02,0.4,41.37879997,2.13308979
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-14,0.4,41.37879997,2.13308979
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-16,0.4,41.37879997,2.13308979
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-18,0.4,41.37879997,2.13308979
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-21,0.4,41.37879997,2.13308979
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-23,0.4,41.37879997,2.13308979
8019042,Barcelona,https://wikidata.org/entity/Q1492,Sants,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-27,0.4,41.37879997,2.13308979
